cases,error_cases,folded_case_rate,max_offset_m,median_known_rmse_m,median_max_offset_m,median_runtime_s,method,ok_cases,p90_max_offset_m,p95_max_offset_m,param_beam_width,param_constrained_iterations,param_constrained_known_weight,param_constrained_polish,param_final_visibility_weight,param_graph_upper_factor,param_graph_upper_sigma_m,param_graph_upper_slack_m,param_graph_upper_weight,param_hop_weight_base,param_iterations,param_known_weight,param_max_hops,param_missing_margin_m,param_missing_sigma_m,param_missing_weight,param_optimizer_seeds,param_radio_radius_m,param_relative_sigma,param_scaffold_weight,param_sdp_eps,param_sdp_max_iters,param_sdp_solver,param_seed_count,score,solver,under_1m,under_20cm,under_50cm
45,0,0.0,0.6984497946285614,0.03749719248577964,0.16768810918835003,1.5281446000008145,sdp_026,45,0.2811195894036384,0.3304227134232735,,55,,True,,1.04,1.0,1.5,0.05,,45,1.0,,0.25,0.5,1.0,,8.2,,,0.0002,3000,SCS,,0.4421897201832171,visibility_sdp,1.0,0.6666666666666666,0.9777777777777777
45,0,0.0,0.4746412015282878,0.037497192485777014,0.16653114983280798,4.2870333999999275,branching_004,45,0.3096611066414549,0.4277728675222385,32,55,1.0,True,1.0,1.0,1.0,0.75,0.35,,45,,,0.25,0.75,4.0,16,8.0,,,,,,,0.5168697751332693,visibility_branching,1.0,0.6666666666666666,1.0
45,0,0.0,0.4837624555060484,0.037497192485777014,0.16644080489940885,4.400251600000047,branching_002,45,0.3126982330854932,0.4431884661860268,32,55,1.0,True,1.0,1.0,1.0,0.75,0.35,,45,,,0.0,0.75,4.0,16,8.2,,,,,,,0.5331749129614839,visibility_branching,1.0,0.6666666666666666,1.0
45,0,0.0,0.5308719904295538,0.037497192485777014,0.16706745326821748,4.1699994999980845,branching_026,45,0.31171564714221256,0.44188373984483464,32,55,1.0,True,1.0,1.08,0.75,1.0,1.0,,45,,,0.25,0.5,0.5,16,8.2,,,,,,,0.5367378022048443,visibility_branching,1.0,0.6666666666666666,0.9555555555555556
45,0,0.0,0.48583035436769834,0.037497192485776897,0.16644080583893917,4.479665099999693,branching_028,45,0.3158791332426101,0.4666078411880176,32,55,2.0,True,4.0,1.04,1.5,0.5,1.0,,45,,,0.25,0.5,12.0,16,7.8,,,,,,,0.5568010780845223,visibility_branching,1.0,0.6666666666666666,1.0
45,0,0.0,0.5105969720108579,0.037497192485777014,0.16644080408906797,4.379936799999996,branching_007,45,0.31587965646400684,0.47030934086244297,32,55,1.0,True,1.0,1.0,1.0,0.75,0.35,,45,,,0.0,0.75,12.0,16,8.0,,,,,,,0.5629792390857958,visibility_branching,1.0,0.6666666666666666,0.9777777777777777
45,0,0.0,0.493281793628701,0.037497192485777014,0.16644080408906797,4.506660800001555,branching_008,45,0.3158792268477926,0.4730073613112483,32,55,1.0,True,1.0,1.0,1.0,0.75,0.35,,45,,,0.0,0.5,4.0,16,8.0,,,,,,,0.5639457416963854,visibility_branching,1.0,0.6666666666666666,1.0
45,0,0.0,0.5004454905592629,0.037497192485776897,0.16644080583893917,4.500595900000917,branching_023,45,0.31587914714439835,0.47600703083019386,32,55,0.5,True,1.0,1.0,1.0,0.75,0.35,,45,,,0.0,0.75,4.0,16,8.0,,,,,,,0.5676617813458549,visibility_branching,1.0,0.6666666666666666,0.9777777777777777
45,0,0.0,0.5874892056869332,0.037497192485776897,0.16644080583893917,4.209829299998091,branching_024,45,0.3545550399263778,0.4920776313156097,32,55,2.0,True,1.0,1.0,1.0,0.75,0.35,,45,,,0.0,0.75,4.0,16,8.0,,,,,,,0.5924367533440378,visibility_branching,1.0,0.6666666666666666,0.9555555555555556
45,0,0.0,0.5280669816542473,0.037497192485777014,0.16644080408906797,4.4368845999997575,branching_025,45,0.3158795549100175,0.5001301985678887,32,55,1.0,True,1.0,1.0,1.0,1.0,1.0,,45,,,-0.25,0.75,12.0,16,8.2,,,,,,,0.5945470977555803,visibility_branching,1.0,0.6666666666666666,0.9333333333333333
