bucket,cases,error_cases,max_offset_m,median_known_rmse_m,median_max_offset_m,median_runtime_s,method,ok_cases,p90_max_offset_m,p95_known_rmse_m,p95_max_offset_m,solver,under_10cm,under_1m,under_20cm,under_2m,under_50cm,under_5cm
grid_16_24,15,0,0.463541592488327,0.03879884518803244,0.16933944296586112,5.133277100001578,branching_000,15,0.2664328495286125,0.04911065408169543,0.33209240549162966,visibility_branching,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.5876115719065292,0.03879884518803244,0.16955090060331338,5.063868400000501,branching_001,15,0.26610817245483687,0.049105188240968684,0.36847668137532646,visibility_branching,0.0,1.0,0.8,1.0,0.9333333333333333,0.0
grid_16_24,15,0,0.41207338722434456,0.03879884518803244,0.17002155005689815,5.361081200000626,branching_002,15,0.26288114722207623,0.04913124223103473,0.31325366711061536,visibility_branching,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.5291590292778222,0.03879884518803244,0.1692294096362105,5.1161135000002105,branching_003,15,0.2695868533609172,0.04910596229579584,0.3549993794881803,visibility_branching,0.0,1.0,0.8,1.0,0.9333333333333333,0.0
grid_16_24,15,0,0.41207338722434456,0.03879884518803244,0.17002155005689815,5.365434199997253,branching_004,15,0.26288114722207623,0.04913124223103473,0.31325366711061536,visibility_branching,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.5366770271483302,0.03879884518803244,0.1694885591495397,5.1794172000008984,branching_005,15,0.2670716891810819,0.04910663138297612,0.3545603238570343,visibility_branching,0.0,1.0,0.8,1.0,0.9333333333333333,0.0
grid_16_24,15,0,0.4041561786940967,0.03879884518803244,0.1690958763725373,5.485990000001038,branching_006,15,0.2648693785127889,0.04912489688694606,0.3128334914966847,visibility_branching,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.3957359089944271,0.03879884518803244,0.16904485095709887,5.543357099999412,branching_007,15,0.26448374794534546,0.04912951827842557,0.3099427457776571,visibility_branching,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.5237811557730804,0.03879884518803244,0.16946879980821802,5.306245200001285,branching_008,15,0.2670154183055214,0.0491070020937282,0.35065430397506436,visibility_branching,0.0,1.0,0.8,1.0,0.9333333333333333,0.0
grid_16_24,15,0,0.463541592488327,0.03879884518803244,0.16933944296586112,5.271554599999945,branching_009,15,0.2664328495286125,0.04911065408169543,0.33209240549162966,visibility_branching,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.463541592488327,0.03879884518803244,0.16933944296586112,5.245499900000141,branching_010,15,0.2664328495286125,0.04911065408169543,0.33209240549162966,visibility_branching,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.46372623757810233,0.038798873264825326,0.1690384265645486,5.27100110000174,branching_011,15,0.2663423634877678,0.049111143232684326,0.3321168806909841,visibility_branching,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.463541592488327,0.03879884518803244,0.16933944296586112,5.472170700002607,branching_012,15,0.2664328495286125,0.04911065408169543,0.33209240549162966,visibility_branching,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.463541592488327,0.03879884518803244,0.16933944296586112,5.384321500001533,branching_013,15,0.2664328369965901,0.04911065408169543,0.33209239087093684,visibility_branching,0.0,1.0,0.8,1.0,1.0,0.0
grid_16_24,15,0,0.463541592488327,0.03879884518803244,0.16933944296586112,5.331232699998509,branching_014,15,0.2664328495286125,0.04911065408169543,0.33209240549162966,visibility_branching,0.0,1.0,0.8,1.0,1.0,0.0
