cases,error_cases,folded_case_rate,max_offset_m,median_known_rmse_m,median_max_offset_m,median_runtime_s,method,ok_cases,p90_max_offset_m,p95_max_offset_m,param_beam_width,param_constrained_iterations,param_constrained_known_weight,param_constrained_polish,param_final_visibility_weight,param_graph_upper_factor,param_graph_upper_sigma_m,param_graph_upper_slack_m,param_graph_upper_weight,param_hop_weight_base,param_iterations,param_known_weight,param_max_hops,param_missing_margin_m,param_missing_sigma_m,param_missing_weight,param_optimizer_seeds,param_radio_radius_m,param_relative_sigma,param_scaffold_weight,param_sdp_eps,param_sdp_max_iters,param_sdp_solver,param_seed_count,score,solver,under_1m,under_20cm,under_50cm
45,0,0.0,0.5329780593119288,0.03906309344376603,0.1733405681264386,1.721878000000288,sdp_014,45,0.30073651951774333,0.43724781545130287,,55,,True,,1.1,1.0,1.5,0.05,,45,1.0,,0.25,0.5,1.0,,8.2,,,0.0002,3000,SCS,,0.5338807634141054,visibility_sdp,1.0,0.6222222222222222,0.9777777777777777
45,0,0.0,1.1859820690488196,0.03909774265164815,0.175092764362383,1.708514500001911,sdp_008,45,0.29990959757684166,0.42408802981427723,,55,,True,,1.04,1.0,1.5,0.05,,45,1.0,,0.25,0.5,2.0,,8.2,,,0.0002,3000,SCS,,0.5864594278097549,visibility_sdp,0.9777777777777777,0.6222222222222222,0.9555555555555556
45,0,0.0,1.106867500614415,0.039063093460726846,0.17334055074590038,1.6642133000023023,sdp_012,45,0.300736509919078,0.43724832272234193,,55,,True,,1.04,1.0,1.5,0.1,,45,1.0,,0.25,0.5,1.0,,8.2,,,0.0002,3000,SCS,,0.5912702104702585,visibility_sdp,0.9777777777777777,0.6222222222222222,0.9555555555555556
45,0,0.0,1.1713224202276609,0.03906309347299636,0.17334054300103152,1.6865084999990358,sdp_013,45,0.3007364890968176,0.43724832001391256,,55,,True,,0.95,1.0,1.5,0.05,,45,1.0,,0.25,0.5,1.0,,8.2,,,0.0002,3000,SCS,,0.5977156977869366,visibility_sdp,0.9777777777777777,0.6222222222222222,0.9555555555555556
45,0,0.0,1.1713224202276609,0.039236141001428894,0.18023538721947907,1.7716612000003806,sdp_030,45,0.2997093386445096,0.4360184917473867,,55,,True,,0.95,1.0,1.5,0.05,,45,1.0,,0.25,0.25,1.0,,8.2,,,0.0002,3000,SCS,,0.5982095805750226,visibility_sdp,0.9777777777777777,0.6222222222222222,0.9555555555555556
45,0,0.0,1.3910090260401229,0.039063093484604475,0.17334054799171308,1.723086300000432,sdp_011,45,0.3007365007724065,0.4372479573679787,,55,,True,,1.04,1.0,1.5,0.025,,45,1.0,,0.25,0.5,1.0,,8.2,,,0.0002,3000,SCS,,0.6196839969699193,visibility_sdp,0.9777777777777777,0.6222222222222222,0.9555555555555556
45,0,0.0,1.0955684637231375,0.03905421694002488,0.173220407404778,1.733907599998929,sdp_024,45,0.3024637488322045,0.4958408236116454,,55,,True,,0.95,1.0,1.5,0.05,,45,1.0,,0.25,0.5,0.5,,8.2,,,0.0002,3000,SCS,,0.6487027718351537,visibility_sdp,0.9777777777777777,0.6222222222222222,0.9333333333333333
45,0,0.0,1.1148469007630355,0.03905421693776182,0.17322043479735838,1.713615499997104,sdp_023,45,0.3024636934042141,0.49583956918383043,,55,,True,,0.95,1.0,1.25,0.05,,45,2.0,,0.25,0.5,1.0,,8.2,,,0.0002,3000,SCS,,0.6506293679594736,visibility_sdp,0.9777777777777777,0.6222222222222222,0.9333333333333333
45,0,0.0,1.3931977288064614,0.03905421693270335,0.17322043993730066,1.7419340999986161,sdp_006,45,0.30246333086832766,0.49583887645767566,,55,,True,,1.04,1.0,1.5,0.05,,45,2.0,,0.25,0.5,1.0,,8.2,,,0.0002,3000,SCS,,0.6784637593226469,visibility_sdp,0.9777777777777777,0.6222222222222222,0.9333333333333333
45,0,0.0,0.7311155579703945,0.039051216430831655,0.17309987964123905,1.6543457000007038,sdp_031,45,0.44554651452904054,0.5793214924515022,,55,,False,,1.1,1.0,1.5,0.1,,45,1.0,,0.25,0.25,1.0,,8.2,,,0.0002,3000,SCS,,0.6957080181588514,visibility_sdp,1.0,0.6222222222222222,0.9111111111111111
45,0,0.022222222222222223,1.9088293056560808,0.039097742581143916,0.17509305043421042,1.7119993000014802,sdp_005,45,0.29990959862840194,0.42408796106069974,,55,,True,,1.04,1.0,1.5,0.05,,45,0.5,,0.25,0.5,1.0,,8.2,,,0.0002,3000,SCS,,0.7031885986793048,visibility_sdp,0.9777777777777777,0.6222222222222222,0.9555555555555556
45,0,0.022222222222222223,2.31847899304822,0.039099489346914346,0.17714870077522266,1.7543549000001804,sdp_022,45,0.30147515230435523,0.4578786756857601,,55,,True,,1.04,0.75,1.25,0.05,,45,1.0,,0.25,0.5,1.0,,8.45,,,0.0002,3000,SCS,,0.7784581946288321,visibility_sdp,0.9777777777777777,0.6666666666666666,0.9555555555555556
45,0,0.022222222222222223,2.31847899304822,0.039099489346914346,0.17714870077522266,1.6884248000023945,sdp_027,45,0.30147515230435523,0.4578786756857601,,55,,True,,1.04,1.0,1.25,0.05,,45,1.0,,0.25,0.5,1.0,,8.45,,,0.0002,3000,SCS,,0.7784581946288321,visibility_sdp,0.9777777777777777,0.6666666666666666,0.9555555555555556
45,0,0.022222222222222223,2.64551321641654,0.03905421692607593,0.17322042876002652,1.7678564000016195,sdp_020,45,0.3024634004868795,0.4958393996815413,,55,,True,,1.04,1.0,1.25,0.05,,45,2.0,,0.25,0.5,1.0,,8.2,,,0.0002,3000,SCS,,0.8481402729576463,visibility_sdp,0.9777777777777777,0.6222222222222222,0.9333333333333333
45,0,0.0,1.4111822798952716,0.03905121643083166,0.17309987964646692,1.6159947000014654,sdp_019,45,0.45296760566080685,0.6995722342149384,,55,,False,,1.04,1.0,1.5,0.05,,45,1.0,,0.25,0.5,1.0,,8.2,,,0.0002,3000,SCS,,0.8839654321160824,visibility_sdp,0.9777777777777777,0.6222222222222222,0.9111111111111111
45,0,0.0,1.4111822798952716,0.03905121643083166,0.17309987964646692,1.6333599999998114,sdp_025,45,0.45296760566080685,0.6995722342149384,,55,,False,,1.04,0.75,1.5,0.05,,45,1.0,,0.25,0.5,1.0,,8.2,,,0.0002,3000,SCS,,0.8839654321160824,visibility_sdp,0.9777777777777777,0.6222222222222222,0.9111111111111111
45,0,0.022222222222222223,4.013750717926933,0.03911813276152144,0.1735352105685147,1.8007848000015656,sdp_029,45,0.33970021663598027,0.40795261246927794,,55,,True,,1.04,1.0,1.75,0.05,,45,1.0,,0.125,0.25,1.0,,8.2,,,0.0002,3000,SCS,,0.8971559313485443,visibility_sdp,0.9777777777777777,0.6444444444444445,0.9555555555555556
45,0,0.022222222222222223,3.916477419574785,0.03906309346738393,0.17334056091698163,1.7676817999999912,sdp_016,45,0.3007365021034686,0.43724779780916667,,55,,True,,1.04,1.0,1.75,0.05,,45,1.0,,0.25,0.5,1.0,,8.2,,,0.0002,3000,SCS,,0.9166751244403349,visibility_sdp,0.9777777777777777,0.6222222222222222,0.9555555555555556
45,0,0.022222222222222223,4.305408355504043,0.03911813279824164,0.173535193619257,1.7134226000016497,sdp_021,45,0.33970008158900894,0.40795261560565405,,55,,True,,1.04,1.0,1.5,0.05,,45,1.0,,0.125,0.25,1.0,,8.2,,,0.0002,3000,SCS,,0.926321694005317,visibility_sdp,0.9777777777777777,0.6444444444444445,0.9555555555555556
45,0,0.022222222222222223,4.291977026859217,0.03907718250125461,0.1745854522613909,1.7581323999984306,sdp_028,45,0.3010057084323463,0.43671885172511693,,55,,True,,1.04,1.0,1.5,0.05,,45,1.0,,0.125,0.5,1.0,,8.45,,,0.0002,3000,SCS,,0.9540073619208308,visibility_sdp,0.9777777777777777,0.6666666666666666,0.9555555555555556
