anchors,bucket,case_index,graph_folded,graph_max_offset_m,ppo_better,ppo_folded,ppo_max_offset_m,ppo_minus_graph_m
25,Grid >=16,27,0,0.16710085661336593,1,0,0.16710085641503905,-1.9832688269438847e-10
24,Grid >=16,28,0,0.17216459292824957,1,0,0.17214969657085158,-1.489635739798656e-05
25,Grid >=16,29,0,0.21572994064097475,0,0,0.21572994085810768,2.1713292275293838e-10
45,Grid >=16,30,0,2.307565539339047,1,0,2.253185185183876,-0.05438035415517106
28,Grid >=16,31,0,0.2181266313625602,0,0,0.218130187821938,3.5564593778014686e-06
27,Grid >=16,32,0,0.2543773688563077,1,0,0.2543169848122268,-6.03840440808745e-05
20,Grid >=16,33,0,0.46794310142495926,0,0,0.4685793384733686,0.000636237048409316
28,Grid >=16,34,0,0.19804847426616776,1,0,0.19801474595684848,-3.3728309319275285e-05
27,Grid >=16,35,0,0.3811250825458691,1,0,0.3811069405847664,-1.814196110266897e-05
20,Grid >=16,36,0,0.20484088007790413,0,0,0.20484088007814452,2.40391040406962e-13
32,Grid >=16,37,0,0.15952297060623216,1,0,0.15949297932241205,-2.999128382011329e-05
20,Grid >=16,38,0,0.15874677950856564,1,0,0.15874091760622958,-5.861902336062874e-06
30,Grid >=16,39,0,0.19810337557423363,1,0,0.19809410980283043,-9.265771403199619e-06
20,Grid >=16,40,0,0.1515463129206813,1,0,0.151542240780883,-4.072139798305674e-06
18,Grid >=16,41,0,0.14308853073546626,1,0,0.14307337731965813,-1.5153415808127901e-05
20,Grid >=16,42,0,0.2715968339956687,0,0,0.27160040566768495,3.5716720162559668e-06
20,Grid >=16,43,0,0.19844239673503472,1,0,0.19844050631699878,-1.8904180359435863e-06
34,Grid >=16,44,0,0.24160623054894537,1,0,0.24134076541574262,-0.0002654651332027469
20,Grid >=16,45,0,0.38637931110917023,0,0,0.38655498558120616,0.0001756744720359249
24,Grid >=16,46,0,0.1270831618357624,0,0,0.12708316322622334,1.390460940831062e-09
31,Grid >=16,47,0,0.3089152867077039,1,0,0.3088088598564146,-0.00010642685128930962
30,Grid >=16,48,0,0.16197294962889228,1,0,0.16195163906881746,-2.1310560074816465e-05
24,Grid >=16,49,0,0.2744779592434985,0,0,0.2744779592589516,1.545308325745509e-11
23,Grid >=16,50,0,0.21766880465058888,1,0,0.21760862855983235,-6.0176090756536293e-05
44,Grid >=16,51,0,0.2986696347408984,0,0,0.2989539119313769,0.0002842771904784658
21,Grid >=16,52,0,5.511123300959382,0,0,5.894551906857976,0.38342860589859384
