bucket,cases,folded_case_rate,max_offset_m,median_known_rmse_m,median_max_offset_m,method,p90_max_offset_m,p95_known_rmse_m,p95_max_offset_m,p99_max_offset_m,under_1m,under_20cm,under_50cm
Random 16-32,80,0.0,9.632048865961503,0.04951313215653705,0.1403049518128562,graph-shortest,0.28305843498189764,0.05885249834356053,0.4127460802939122,2.4074958535598467,0.9875,0.8,0.9875
Random 16-32,80,0.0,8.577871769163615,0.04951313108729253,0.14027622079286017,weighted-ppo-final,0.28305761202813784,0.05885249689727206,0.4126537570362424,2.18549827938167,0.9875,0.8,0.9875
Grid >=16,80,0.0,9.065474777566104,0.038329039235178344,0.21858960287553525,graph-shortest,1.0051056562660086,0.04945000228885837,2.015311329042797,6.257537111046772,0.8875,0.375,0.8875
Grid >=16,80,0.0125,11.568519346456112,0.03819264511397695,0.21858900512811882,weighted-ppo-final,1.143108939383874,0.04921064696317982,4.741878473661827,7.481018610708269,0.8875,0.375,0.8875
Office >=16,80,0.0,2.592777292503753,0.04500541736192243,0.16300201400997438,graph-shortest,0.4004119386358547,0.05865066724228893,0.8925321099452678,1.9694198283022715,0.95,0.65,0.9125
Office >=16,80,0.0,3.7173517644430225,0.0450054169583078,0.16297129077408654,weighted-ppo-final,0.40070746442991484,0.05865066712903347,0.7074169235689504,2.204039456524428,0.95,0.65,0.9125
